sep=,
"Unqualifizierte Hilfskräfte, die Pflegetätigkeiten ausführen, sind Teil des Problems und nicht Teil der Lösung.","Prof368",1
"Professionelle Pflege ist Menschenrecht.","Prof372",1
"Um ehrlich zu sein, bezweifle ich, dass es professionelle Pflege noch in 10 Jahren gibt.","Prof373",1
"Die Profession Pflege ist ein Mythos.","Prof379",1
"Die Pflege sollte mehr Interesse an ihrer eigenen Profession bekommen und für sie eintreten.","Prof381",1
"Professionelle Pflege in Deutschland ist tot – wir können das gleich lassen, das wird nämlich nichts mehr.","Prof382 Prof387",2
"Ich glaube die Pflege hat es nicht mehr verdient, dass wir uns noch weiter dafür stark machen.","Prof383 Prof384 Prof378",3
"Ich erlebe eher Grabenkämpfe und keinen Zusammenhalt. Wir sind alle Pflege egal ob Altenpflege, Krankenpflege, Wissenschaft, Pädagogik, Management etc.","Prof391",1
"Vor dem Hintergrund der demographischen Entwicklung ist ein Ausbau der Pflegewissenschaft dringend angeraten.","Pwi/396",1
"Grundlage für pflegerisches Handeln ist der jeweilige Stand pflege- und bezugswissenschaftlicher sowie medizinischer Erkenntnisse.","Pwi/400 Pwi/397",2
"Alles unter 4000 € im Monat ist für diese Profession unwürdig.","Rahm405",1
"Höhere Gehälter sehe ich als integralen Bestandteil einer Professionalisierung und Weiterentwicklung der Pflege.","Rahm407 Prof388",2
"Professionelle Pflege ist eine hochqualifizierte Arbeit, die angemessen vergütet und entlohnt werden sollte.","Rahm408",1
"Geld ist meiner Meinung nach nur ein Teilaspekt; es benötigt viel mehr ein Stärken der Position der Pflege.","Rahm409 Rahm406 Rahm403",3
"Der Knackpunkt ist nicht-akademisch oder akademisch – gute Pflege braucht Zeit und gute Rahmenbedingungen.","Rahm411",1
"Die Pflegekammer hat keinen Einfluss auf die Rahmenbedingungen.","Rahm412 Rahm417 Rahm418 Rahm416 Pfle280",5
"Es braucht keine Zwangsverkammerung sondern endlich bessere Rahmenbedingungen und mehr Personal.","Rahm414 Pfle244",2
"Erst wenn die Rahmenbedingungen verbessert werden, bin ich bereit über eine Pflegekammer nachzudenken.","Rahm415",1
"Es mangelt nicht an pflegewissenschaftlichen Erkenntnissen, sondern an der Möglichkeit, diese aufgrund der Rahmenbedingungen in der Praxis adäquat umzusetzen.","Rahm419",1
