sep=,
"255","1256841942412992512"
"256","1256851087627296769"
"257","1257366081192296448"
"258","1257337998510882821"
"259","1257734442346590208"
"260","1257694103380340740"
"261","1257600074672209920"
"262","1258151656417644545"
"263","1258315192297013249"
"264","1259214074132471808"
"265","1258963227372855297"
"266","1259458327156854786"
"267","1259383919570563072"
"268","1259448702005137409"
"269","1259382444417048576"
"270","1260113979642458113"
"271","1260304476776341506"
"272","1260110848405667842"
"273","1260131816587042817"
"274","1260134002532417536"
"275","1260104330486710277"
"276","1260672744112500743"
"277","1260473539712483329"
"278","1261054623504367617"
"279","1261012831568265216"
"280","1260965018079834113"
"281","1260887420649816064"
"282","1260811239082647553"
"283","1261282151837941761"
"284","1261325323465089026"
"285","1261324051928289283"
"286","1261134984951345152"
"287","1261154202396569601"
"288","1261137669473492993"
"289","1244703468931166210"
"290","1244565391852142597"
"291","1244561612364640258"
"292","1245101884135944197"
"293","1244965328699916296"
"294","1244947675927191552"
"295","1245414168817283073"
"296","1245405976364228608"
"297","1245400540441427968"
"298","1245765865443909633"
"299","1245795067979280388"
"300","1245768066807595009"
"301","1245762781225390080"
"302","1245640034805407751"
"303","1245627738393702401"
"304","1245681732801761280"
"305","1245674730419638272"
"306","1245953873925283842"
"307","1246429490064101376"
"308","1246441734726455296"
"309","1246481545243877378"
"310","1246429927638994947"
"311","1246414632144814081"
"312","1246427676052795392"
"313","1246914938116935682"
"314","1246897217891373056"
"315","1247205338383822849"
"316","1247203531070885888"
"317","1247204258463784961"
"318","1247204834962481155"
"319","1247214334788407297"
"320","1247220455309824007"
"321","1247218971994140672"
"322","1247206825151340545"
"323","1247582245973643270"
"324","1247491033426022400"
"325","1248022617946284032"
"326","1248271312965042176"
"327","1248488694899544066"
"328","1248614577912205313"
"329","1248599558101315588"
"330","1248558363438432256"
"331","1248597199572938753"
"332","1248579441103646720"
"333","1248500852223926272"
"334","1248914473986985988"
"335","1248907284652199938"
"336","1248900739101065216"
"337","1250874260345819138"
"338","1251043046696902662"
"339","1251562190634713090"
"340","1251515332029747200"
"341","1251457669925416963"
"342","1251489703335014402"
"343","1251793006564343808"
"344","1251733890781380608"
"345","1251809586945961984"
"346","1251746241723195396"
"347","1251804683422793733"
"348","1251805730287517697"
"349","1251757297900060672"
"350","1252081598276734982"
"351","1252875625544613888"
"352","1252987502291451906"
"353","1252968376881876993"
"354","1252862373288742913"
"355","1252881174180978690"
"356","1253581629840338948"
"357","1254124593540890624"
"358","1254019655179657216"
"359","1254378626151317505"
"360","1254651744941989889"
"361","1254656220214034432"
"362","1254789753158766592"
"363","1254653083096961025"
"364","1254652027927506949"
"365","1255117099082625024"
"366","1255057817192534017"
"367","1255108554840825856"
"368","1255854998606483456"
"369","1254487275444068352"
"370","1254339274834620417"
"371","1254790480702984193"
"372","1255197345916084226"
"373","1255423141310074881"
"374","1255411916803104768"
"375","1255940077986947073"
"376","1255855970128998401"
"377","1256130992600944640"
"378","1256030938867343368"
"379","1256173807196418050"
"380","1256129736780271622"
"381","1256126199480365056"
"382","1256129140840955906"
"383","1256135023759167488"
"384","1256124574724435968"
"385","1256127683328536576"
"386","1257067661231566851"
"387","1257779963656376328"
"388","1257737094212063234"
"389","1257710028456374280"
"390","1258059387786145803"
"391","1257996942421917697"
"392","1258530526098411520"
"393","1258447332963737601"
"394","1258323135650312192"
"395","1258753592527388672"
"396","1258779165140094979"
"397","1258792174386401284"
"398","1259235197855436802"
"399","1259413743013974017"
"400","1260535397421060097"
"401","1260536503601684481"
"402","1260532805609586688"
"403","1260457352790188033"
"404","1260496430826954752"
"405","1260496438011875330"
"406","1260472991269470210"
"407","1260451369334575104"
"408","1260442211650543618"
"409","1260440482460688389"
"410","1260833392205205505"
"411","1260946631010238464"
"412","1260945480927805440"
"413","1260944936138149888"
"414","1260828364539072513"
"415","1260946944291155968"
"416","1260881322249248769"
"417","1260815449413083136"
"418","1261421714463809536"
"419","1261266722977390592"
"420","1261210726892527616"
"421","1261188539598934017"
"422","1261564039366430720"
"423","1261568665671086082"
"424","1261583061210333187"
"425","1261687133720453121"
"426","1261544441606701057"
"427","1261642501510901760"
"428","1261534601652174848"
"429","1261523465468813312"
"430","1262347091541712896"
"431","1262388846777507841"
"432","1262837329271685122"
"433","1262821509334216706"
"434","1262781226693341185"
"435","1262763089310572546"
"436","1262691811547627521"
"437","1262692737712902144"
"438","1262695268396523522"
"439","1263131045735563264"
"440","1259962834991165447"
"441","1259972811084480513"
"442","1259674999214026757"
"443","1259881765654736901"
"444","1260332587433832448"
"445","1260262049386504192"
"446","1260267729417895938"
"447","1260127000452370433"
"448","1260197931325554689"
"449","1260197526138957825"
"450","1260181768243744773"
"451","1260307119183745026"
"452","1260196695696179200"
"453","1260100954160070657"
"454","1260287397159415813"
"455","1260288501435826176"
"456","1260246527760572417"
"457","1260224113697841158"
"458","1260131761113227264"
"459","1260255238767902727"
"460","1260242877147484161"
"461","1260106673961807873"
"462","1260221432644206592"
"463","1260118233308442625"
"464","1260222857017266176"
"465","1260216029113913345"
"466","1260111455237611522"
"467","1260202386603286529"
"468","1260102381926338560"
"469","1260107489519026176"
"470","1260155069200293888"
"471","1260149306750906369"
"472","1260103741149249536"
"473","1260130916871127042"
"474","1260121227080892419"
"475","1260120789078151168"
"476","1260120521783554051"
"477","1260112295511851008"
"478","1260097477082058753"
"479","1260084791950675969"
"480","1263562582948020225"
"481","1264125169083322368"
"482","1264100930993172480"
"483","1264850398218792962"
"484","1265324990032945152"
"485","1265226394465902592"
"486","1265872519585726465"
"487","1265885475962851329"
"488","1266241276648669186"
"489","1266603687960608769"
"490","1266606062620336133"
"491","1266597178094616576"
"492","1267054779626409984"
"493","1267176033792466946"
"494","1267005052142657538"
"495","1267036240316162048"
"496","1267089865209937921"
"497","1267067995387564032"
"498","1267063530529964034"
"499","1267385703438090241"
"500","1267917873932107781"
"501","1267779892273438721"
"502","1267722201287004160"
"503","1268189382755975168"
"504","1268089754639351808"
"505","1268158338115735552"
"506","1268117547066540032"
"507","1268613568104140800"
"508","1268613295562358784"
"509","1268559251963863042"
"510","1269013036347555840"
"511","1268911620035694593"
"512","1269352376227463168"
"513","1269356920370089990"
"514","1269314011574743040"
"515","1269342405020594179"
"516","1269325990519623681"
"517","1269303187980369922"
"518","1269257071519825920"
"519","1269544571199000577"
"520","1270601693760290816"
"521","1270798817697423360"
"522","1270660878187274241"
"523","1244703617954824192"
"524","1244678679181119489"
"525","1244935210325721089"
"526","1245050141045862400"
"527","1245287977812668416"
"528","1245255894486695936"
"529","1245230066889641989"
"530","1245852837340303362"
"531","1245843250784677889"
"532","1245706243379007496"
"533","1245811917865791489"
"534","1245699255458762753"
"535","1245709539682418689"
"536","1245706663803400197"
"537","1245741814327513089"
"538","1245728728606560257"
"539","1245729576678043648"
"540","1245724502698479616"
"541","1245914623540330497"
"542","1245994264556908544"
"543","1246077594405163008"
"544","1246138455945510913"
"545","1246102937623027713"
"546","1246338737996468224"
"547","1246345659952910336"
"548","1246441368697942016"
"549","1246615621753876480"
"550","1246916219170623493"
"551","1246905614703505408"
"552","1246836237874405377"
"553","1246861393854377984"
"554","1250753336384643073"
"555","1251221054699298816"
"556","1251172602716000265"
"557","1251070817632477187"
"558","1251433012698415104"
"559","1251587226556936194"
"560","1251554507059838981"
"561","1251469001676525571"
"562","1251876518151806976"
"563","1252662792953438208"
"564","1252638454976045062"
"565","1252623024475353088"
"566","1252871698883375106"
"567","1253014714642313223"
"568","1252921422151856128"
"569","1252874910646407168"
"570","1252905396081213440"
"571","1252946867324944384"
"572","1252883872079101952"
"573","1253370790285893633"
"574","1253371744175509504"
"575","1253412376071684102"
"576","1253373883803152384"
"577","1253326098831532034"
"578","1253296965368057857"
"579","1253262334015012865"
"580","1253271927508078592"
"581","1253244975011291138"
"582","1253722098905817088"
"583","1253566689947631622"
"584","1254126391454576643"
"585","1247114153862594561"
"586","1247126968056918016"
"587","1247154723880394752"
"588","1247096498308988928"
"589","1247613368875311105"
"590","1247391955522371585"
"591","1247392409178312704"
"592","1247496674391527428"
"593","1247476966044897280"
"594","1247424404662947845"
"595","1247416906761584641"
"596","1247943907654217730"
"597","1247845873557606401"
"598","1248327521298534408"
"599","1248708365867528193"
"600","1248691641096994819"
"601","1248505066811568129"
"602","1248560964087267328"
"603","1248554002616377345"
"604","1248891198762364928"
"605","1249246856124735490"
"606","1249808060014563329"
"607","1249675272464543747"
"608","1249668510713892864"
"609","1249733710406131712"
"610","1250077869365223425"
"611","1250529907681222656"
"612","1250495048514486276"
"613","1250484534849699840"
"614","1250434477014171650"
"615","1250426683443662851"
"616","1250334257521643520"
"617","1250320341852770304"
"618","1271009546975281152"
"619","1270973179536736256"
"620","1271451062852034561"
"621","1271498430700032006"
"622","1271476302843912192"
"623","1271455979301933056"
"624","1271455375980662786"
"625","1271451646481043457"
"626","1271432636402196481"
"627","1271406710675197952"
"628","1271930556348014594"
"629","1271709042902253569"
"630","1271696322962259968"
"631","1271784693000810496"
"632","1271670980558102530"
"633","1271715544153165825"
"634","1271704553172369408"
"635","1271704551683436544"
"636","1271688153397592069"
"637","1272421359499522048"
"638","1272490903656116231"
"639","1272460827556265984"
"640","1272328186525868032"
"641","1272788761894621184"
"642","1272787127982571520"
"643","1272795762464894976"
"644","1273157687342137344"
"645","1273156821511999488"
"646","1273318881403248641"
"647","1273321602139271168"
"648","1273316099006828550"
"649","1273127099298197504"
"650","1273260436016824321"
"651","1273158881036972042"
"652","1273736477525114889"
"653","1273596398575980545"
"654","1274082861608509441"
"655","1273870603284631552"
"656","1274381571823370246"
"657","1274299597796540417"
"658","1274238801200787457"
"659","1274263569362759680"
"660","1274284454203265025"
"661","1274251421656010752"
"662","1274607495688998912"
"663","1274609136886571010"
"664","1275042147885035520"
"665","1275578276178792448"
"666","1275454587860709376"
"667","1275288497696497664"
"668","1275271563500281859"
"669","1275888030025486343"
"670","1275879326404227073"
"671","1275866091433218049"
"672","1275684296343326723"
"673","1275714978931249154"
"674","1276186515350204419"
"675","1276122763682553862"
"676","1276057507518132226"
"677","1276050349342760960"
"678","1276588547005468672"
"679","1277003779443953666"
"680","1276738920227667968"
"681","1277317364023988227"
"682","1277227805575651328"
"683","1277221172351033346"
"684","1277224849593827328"
"685","1277251446078148609"
"686","1277159495089750017"
"687","1277670943251484675"
"688","1277474106406064128"
"689","1277581757181759488"
"690","1277568679543279616"
"691","1245769479956676612"
"692","1245762134597918723"
"693","1245792847095308288"
"694","1246557399680499715"
"695","1246541059506737156"
"696","1246819443000426497"
"697","1246748925643587584"
"698","1247166246774124549"
"699","1247167590000025608"
"700","1247497937095180288"
"701","1247769731819438082"
"702","1247772246627606529"
"703","1247793618477170688"
"704","1248161251429146630"
"705","1248567211507122176"
"706","1249037110281150466"
"707","1248953950465916930"
"708","1249678085559136256"
"709","1249683296600064002"
"710","1250020321132007430"
"711","1249954325364908033"
"712","1250057248656838657"
"713","1250022189702750208"
"714","1249938420601946113"
"715","1250451311872675842"
"716","1250338971898413056"
"717","1250331639210631183"
"718","1251242510334275585"
"719","1251222225115648000"
"720","1251069264292962307"
"721","1251062444597919745"
"722","1251804368288075777"
"723","1252595056290209792"
"724","1253195650390515713"
"725","1253392850508750849"
"726","1253267806839341056"
"727","1253567220615122946"
"728","1253714689038659587"
"729","1253555138456883205"
"730","1254127155807752197"
"731","1254127797041344513"
"732","1254448033737162759"
"733","1254712998465282048"
"734","1254878424381997056"
"735","1255486027407527937"
"736","1255401197307076609"
"737","1256243018841100289"
"738","1256122586343378944"
"739","1256123367155011584"
"740","1257744863338127361"
"741","1260226524130795522"
"742","1260190600516775939"
"743","1260259187466133505"
"744","1260188019858038785"
"745","1260185032808955904"
"746","1260143869716582400"
"747","1260134858694721537"
"748","1260108635721601024"
"749","1260560625396322307"
"750","1260631251301498881"
"751","1260922146643034112"
"752","1260906685612384257"
"753","1261232987833761793"
"754","1261163158254891011"
"755","1261665595868827651"
"756","1262428545315483650"
"757","1262419159964626949"
"758","1263118652087336963"
"759","1263762355135053824"
"760","1265636537540186113"
"761","1265584135734730752"
"762","1266280871134285829"
"763","1266823694539767808"
"764","1267470118247858176"
"765","1268067193469775872"
"766","1268611356313468930"
"767","1268928586636984320"
"768","1268929224225755139"
"769","1268893953933402118"
"770","1269367624359653377"
"771","1269336479572152321"
"772","1269333595728097281"
"773","1269555742371188738"
"774","1270021748981981185"
"775","1270348264034963457"
"776","1270268312061186049"
"777","1270814994528174080"
"778","1270732399786315779"
"779","1270728901870997504"
"780","1271378003906506752"
"781","1271433806189342720"
"782","1271360544226885637"
"783","1272086257426927617"
"784","1273316883018719233"
"785","1274047178349203456"
"786","1274049501263790083"
"787","1274049170521968641"
"788","1273968313463422978"
"789","1274380157336371200"
"790","1274308003794243592"
"791","1274308820337070080"
"792","1275074824994295809"
"793","1275074504478224384"
"794","1276203598402203650"
"795","1276147100393365504"
"796","1276533747698073603"
"797","1276500245665333248"
"798","1276434871859249153"
"799","1277258405342781443"
